Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2019-06-03T19:55:00Z,"BIL",2019-06-17T19:55:00Z,Buy,76.572100095,76.647458094,1113,83.87,11.13,-9.32,93.19,9.32,1,"	143,144" 
2019-06-17T19:55:00Z,"AAPL",2019-06-18T19:55:00Z,Buy,46.336818935,47.3817766125,1841,1923.77,18.41,-35.22,2843.83,928.87,1,"	145,146" 
2019-06-18T19:55:00Z,"META",2019-06-19T19:55:00Z,Buy,187.300180149,186.208745079,465,-507.52,4.65,-1947.02,0,1947.02,0,"	147,148" 
2019-06-19T19:55:00Z,"AMZN",2019-06-21T19:55:00Z,Buy,95.363750552,95.1761916,909,-170.49,9.09,-230.8,1031.11,1261.91,0,"	149,150" 
2019-06-21T19:55:00Z,"MSFT",2019-06-25T19:55:00Z,Buy,129.054488095,125.347053293,670,-2483.98,6.7,-2755.08,781.76,3536.84,0,"	151,152" 
2019-06-25T19:55:00Z,"META",2019-06-27T19:55:00Z,Buy,187.210880916,187.736754177,448,235.59,4.48,-582.31,884.58,1466.89,1,"	153,154" 
2019-06-27T19:55:00Z,"NVDA",2019-07-03T16:55:00Z,Buy,4.0674044245,4.0356045365,19966,-634.92,199.66,-1582.33,4900.76,6483.09,0,"	155,156" 
2019-07-03T16:55:00Z,"TSLA",2019-07-05T19:55:00Z,Buy,15.6719984328,15.5386651128,5322,-709.6,53.22,-1465.32,106.44,1571.76,0,"	157,158" 
2019-07-05T19:55:00Z,"META",2019-07-08T19:55:00Z,Buy,194.880692817,194.186143227,424,-294.49,4.24,-1119.06,100.97,1119.06,0,"	159,160" 
2019-07-08T19:55:00Z,"AMZN",2019-07-12T19:55:00Z,Buy,97.420414273,100.272707059,845,2410.19,8.45,-296.32,3460.17,1507.32,1,"	161,162" 
